sample,noisy_mse,noisy_mae,noisy_psnr,noisy_ssim,stage_one_mse,stage_one_mae,stage_one_psnr,stage_one_ssim,stage_two_mse,stage_two_mae,stage_two_psnr,stage_two_ssim,stage_one_mse_vs_noisy_percent,stage_two_mse_vs_noisy_percent,stage_two_mse_vs_stage_one_percent,stage_one_mae_vs_noisy_percent,stage_two_mae_vs_noisy_percent,stage_two_mae_vs_stage_one_percent,stage_one_psnr_vs_noisy,stage_two_psnr_vs_noisy,stage_two_psnr_vs_stage_one,stage_one_ssim_vs_noisy,stage_two_ssim_vs_noisy,stage_two_ssim_vs_stage_one
tile_0011,0.03382938653901822,0.14741903966692962,14.707058776224503,0.07973179966211319,0.0012205058665848173,0.02586707286027708,29.13460128725866,0.7298110127449036,0.001198474032793691,0.025641141321673427,29.21371371339616,0.7305100560188293,96.39217263021574,96.45729894802736,1.805139524054486,82.45337039318686,82.6066284384937,0.8734329540262998,14.427542511034158,14.506654937171657,0.07911242613749891,0.6500792130827904,0.6507782563567162,0.0006990432739257812
tile_0012,0.03182846924100889,0.14150646037843403,14.971842478436265,0.1381542980670929,0.0017400213341220948,0.03085349928196024,27.594454268698705,0.7133092880249023,0.0016880740622794413,0.030125724917641133,27.72608503128805,0.7130489945411682,94.53312906459168,94.69633915003217,2.985438788821681,78.19640234131502,78.71070703268586,2.358806557623205,12.62261179026244,12.754242552851785,0.1316307625893458,0.5751549899578094,0.5748946964740753,-0.00026029348373413086
tile_0013,0.0360182437294587,0.1545269666413939,14.434774674520852,0.02686898410320282,0.0004712074609834746,0.01731548376331678,33.26787841654105,0.8258600831031799,0.0005115831028593823,0.018108736026078986,32.9108380832184,0.8257920145988464,98.69175336664713,98.57965561368843,-8.568548934186689,88.7945229627782,88.28118067696018,-4.581172975615774,18.8331037420202,18.47606340869755,-0.35704033332265084,0.7989910989999771,0.7989230304956436,-6.80685043334961e-05
tile_0014,0.03631500197823325,0.1551276762500796,14.399139278447102,0.026589689776301384,0.0004929751655558714,0.017712631412905466,33.071749584787725,0.8209869265556335,0.0005229743524901373,0.018333933036956296,32.81519609115767,0.8209341168403625,98.64250271595371,98.55989446784665,-6.085334319111032,88.58190115324675,88.18139130286437,-3.5076754524353033,18.672610306340623,18.416056812710565,-0.25655349363005797,0.7943972367793322,0.7943444270640612,-5.2809715270996094e-05
tile_0015,0.035783826100485715,0.15425149397742643,14.463132253815365,0.027103552594780922,0.000491537126946331,0.017648462773649953,33.08443673317169,0.8277797698974609,0.0005225058415228217,0.01828385281927088,32.81908849854332,0.8277227282524109,98.6263706805247,98.53982679198262,-6.300381574202459,88.55864386231963,88.14672561813464,-3.600257165567962,18.621304479356326,18.355956244727956,-0.26534823462836954,0.80067621730268,0.80061917565763,-5.704164505004883e-05
tile_0016,0.036096219222092885,0.15415781543600401,14.425382844370219,0.060146719217300415,0.0009921498374452665,0.021930737279674872,30.03422734436939,0.8110880255699158,0.001016529251137503,0.0224501639969219,29.92880119805255,0.8109624981880188,97.2513746347207,97.18383455928445,-2.457231032261432,85.77384012763268,85.43689534427679,-2.3684872543178344,15.608844499999172,15.503418353682331,-0.10542614631684089,0.7509413063526154,0.7508157789707184,-0.00012552738189697266
tile_0017,0.036342396170695124,0.15492835448077713,14.395864416564008,0.039420608431100845,0.0007080245740429654,0.019470944465117174,31.499516686011233,0.8093501925468445,0.0007244004388403208,0.0198513143673343,31.400212952631804,0.8093435764312744,98.05179446419142,98.00673451624404,-2.312894975360223,87.43229118364317,87.18677776326774,-1.9535256900278815,17.103652269447224,17.004348536067795,-0.0993037333794291,0.7699295841157436,0.7699229680001736,-6.616115570068359e-06
tile_0018,0.03620810713571657,0.15472065068157312,14.4119417835892,0.03341071680188179,0.0005978828738101167,0.018849391785617325,32.23383886647233,0.8134439587593079,0.0006155553738234014,0.01922025369227261,32.107328729288646,0.8133847117424011,98.34875965327569,98.2999515232427,-2.9558465022862292,87.817145479558,87.57744773719355,-1.9675006539906763,17.821897082883133,17.695386945699447,-0.1265101371836863,0.7800332419574261,0.7799739949405193,-5.924701690673828e-05
tile_0019,0.03509722113448325,0.15058476320931166,14.54727267971081,0.21990132331848145,0.0028496252697689938,0.038416057327196995,25.452122466481768,0.7845941185951233,0.0028594590157354455,0.038847247166880074,25.43716123760602,0.7837591171264648,91.88076668847945,91.8527480999742,-0.34508909191589504,74.48874872300395,74.20240511791842,-1.1224208564938125,10.904849786770958,10.88988855789521,-0.014961228875748134,0.5646927952766418,0.5638577938079834,-0.0008350014686584473
tile_0020,0.034733568316061884,0.14975770629560245,14.592505976172754,0.1325315237045288,0.0017569465018702198,0.02971864993234874,27.552414623500567,0.7779243588447571,0.0017657725467859868,0.030217565378203897,27.530652396245948,0.7763045430183411,94.94164697999729,94.91623627403281,-0.5023513753191668,80.15551208183707,79.82236365282044,-1.6787957965482416,12.959908647327813,12.938146420073194,-0.021762227254619404,0.6453928351402283,0.6437730193138123,-0.0016198158264160156
